,date,I,R,D,C,I_p,C_p
343,2021-01-08,,,,,724.1422560569947,247440.0714340903
344,2021-01-09,,,,,668.3741449504741,247440.66929106793
345,2021-01-10,,,,,616.9006214981705,247441.24921233623
346,2021-01-11,,,,,569.3910071517554,247441.81173596648
347,2021-01-12,,,,,525.5400794991267,247442.3573838878
348,2021-01-13,,,,,485.06611346411506,247442.8866623715
349,2021-01-14,,,,,447.70907310590223,247443.40006250064
350,2021-01-15,,,,,413.2289424581924,247443.89806062594
351,2021-01-16,,,,,381.4041847327441,247444.38111880748
352,2021-01-17,,,,,352.0303200291567,247444.84968524356
353,2021-01-18,,,,,324.9186124478775,247445.30419468656
